ref_id,category,structure,description,verification_target,refs_version,static_evidence_level,static_analysis_notes,raw_analysis_notes
CT_CTBL_011,Content,Container Table,0xA8-0xAC: CPC clusters per container (Lee),Yes,3.4,N/A,"Raw disk analysis: INVALIDATED — CPC is at universal offset 0x18, NOT at 0xA8. Lee's offset is incorrect",CPC is at offset 0x18 universally (not 0xA8 as Lee claims). Confirmed across all 39 images including 64K clusters and SHA256. Merged from CT_CTBL_RA_001 | RE-VERIFIED 2026-06-18 (all-disk): value+0xA8 (u32) == 0 on 278873/278873 224-byte rows (CPC@0xA8 never matches the real CPC 16384/1024). CPC is at value+0x18 (and trailing copy at 0x98/0xD8). 0xA8 is out of bounds for 160B rows.
CT_CTBL_RA_003,Content,Container Table,Both SHA256 checksums AND 64K clusters cause container row size to increase from 160 to 224 bytes (they do not stack),No,both,N/A,Row size variation is disk-level observation; not directly visible in code,"Confirmed across 64K and SHA256 images. Row sizes: 160 (CRC64+4K), 224 (SHA256 or 64K)"
CT_CTBL_RA_007,Content,Virtual Addressing,"Address translation shift = CPC.bit_length() = 15 (4K) / 11 (64K), NOT log2(CPC) = 14/10. Driver stores log2(CPC) at volume+0x50 and adds 1 before shifting (GetContainerIdFromRealRange). Errata E18.",Yes,both,E2+RD,Win11 refs.sys decompilation at 0x1400b3e64 confirms +1 shift,VLCN 81408 with shift=15 resolves to CID 2 (MSB+ valid); shift=14 gives CID 4 (wrong page). Verified on 20 images
CT_DRNT_001,Content,Data Run Table,Starting LCN of data run,No,3.4,E2,CmsStream::LookupAllocation / AddAllocation / DeleteAllocation manage extent maps; data runs map VCN→LCN,
CT_DRNT_002,Content,Data Run Table,"Flags: 0x0010=data, 0x0080=CRC32, 0x0100=CRC64",No,3.4,N/A,Flag constants need raw disk verification,"PT: Extent flags at value[0x00] verified. OID 0x707 on win11refslasttests: flags=0x00A8 | RE-VERIFIED 2026-06-18 (all-disk): claimed 0x0010=data / 0x0080=CRC32 / 0x0100=CRC64; disk shows bit 0x10 is NOT 'data' (0x180040 data run lacks it), bit 0x80 marks the integrity-stride entry (0x1c00d0), and bit 0x100 (CRC64) appears in 0 of all clean extent flags corpus-wid"
CT_DRNT_003,Content,Data Run Table,Total length of data run,No,3.4,N/A,,PT: Extent length field at value[0x08] verified on win11refslasttests
CT_DRNT_004,Content,Data Run Table,Optional per-cluster checksums,No,3.4,E2,CmsIntegrityState manages per-page checksums; checksum area confirmed in data run structure,
CT_DRNT_RA_001,Content,Data Run Table,Snapshot extent entries use same 24-byte format (VLCN+flags+file_VCN+run_length) as regular type-0x40 data runs. Unified extent storage across non-resident directory entries and embedded DATA entries. Confirmed on 21 snapshots across 4 images.,No,3.14,E2,Same extent structure visible in CmsStream::LookupAllocation,Validated on 12 files / 21 true snapshots / 4 images including 21-extent 13.4 MB chains
CT_MISC_001,Content,B+ Tree Remnants,B+ tree balancing leaves recoverable remnants,Yes,3.2,E2,CoW B+-tree model means old pages persist until space reclaimed. CmsBPlusTable never overwrites in-place,Log data area contains MSB+ pages (logged copies of old tree state); confirms CoW remnant persistence
CT_MISC_002,Content,Trash Stream Table,Large deleted files retained; threshold by data-run count,Yes,3.4,E2,CmsTrashTable class: 12 funcs (Win10) / 20 funcs (Win11). Manages deferred deletion of large files,
FN_ADDR_001,File Name,Metadata Addresses,128-bit: directory_id | file_id; root=0x600,No,3.4,N/A,verify_static.py: root=0x600 in OpenRootDirectory; partial static match,128-bit keys observed in Object Table (8 bytes padding + 8 bytes OID); root=0x600 confirmed
FN_DTBL_001,File Name,Directory Table,Directory Descriptor row: type 0x10,No,3.4,N/A,,"Directory entries identified by flag 0x10000000 (bit 28) in all images | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): Semantic label 'Directory Descriptor row: type 0x10' is a Prade naming; the type-0x10 key marker exists on disk but FN_DTBL_005 supersedes the directory-discrimination model (dirs are kf=0x02+attr-bit, not a distinct row type). Of"
FN_DTBL_002,File Name,Directory Table,File row: type 0x00010030 + filename,No,3.4,N/A,verify_static.py: decompiled code / function catalog evidence,Exact type encoding not yet verified at this level of detail
FN_DTBL_003,File Name,Directory Table,"Type 0x20 is the per-object FileId-resolution index (RefsFindFileId/RefsCreateFileId2), NOT a directory reverse-lookup. Key = 0x80000020 + 0 + FileId(u64) + 0 (24B). Format A (type_flag=0, variable) = filename, for non-resident files. Format B (fixed 24B, type_flag=1 on v3.4 / =2 on v3.7+) = {tf, 0, FileId, home-dir back-ref OID}, for subdirectories + cross-dir links. Format B present on v3.4 (as tf=1); tf=1->tf=2 transition at v3.7.",No,both,E2+RD,RefsFindFileId/RefsCreateFileId2 (win11 L487321 / win10 L246686); Format B value = _REFS_FILE_REFERENCE back-pointer. RefsLinkFileToSelf passes own ref; RefsMoveFile cross-dir inserts Format B.,"win10refs2tspecials (v3.4): 113 Format B all tf=1 non-self-referencing. Coverage on OID 0x702: 12 Format A == 12 non-resident files; subdirs get Format B. | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): The Format A/B / tf=1->tf=2 transition and the RefsFindFileId semantic are E2+RD (decompilation-grounded); the byte presence of the 0x20 index is disk-confirmed but the detailed semantic discrimination is not a pure byte-layout cl"
FN_DTBL_004,File Name,Directory Table,Directory Link row: type 0x00020030 + dirname,No,3.4,E1,$DIR_LINK string confirmed; directory link management functions present,"Directory names extracted from B+-tree walking in refs_dirfiles.py | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was CONFIRMED): E1 (string $DIR_LINK). On disk these are indistinguishable from other kf=0x02 type-0x30 entries except by the directory attribute bit (FN_DTBL_005). Semantic 'Directory Link' label is literature; byte layout confirmed."
FN_DTBL_005,File Name,Directory Entries,"key_flags is u16 at key+0x02, NOT first 4 bytes of row header. Values 0x68/0x2a8 are row sizes. CORRECTION: key_flags take ONLY {0x01=resident, 0x02=non-resident}; 0x04 NEVER appears. Directories are key_flags 0x02 with the directory attribute bit 0x10000000 set in the value attribute word (value+0x40), NOT a separate 0x04 flag. Distribution 111 images/525K entries: {0x01: 409483 ; 0x02: 115682 ; 0x04: 0}. Errata E15/E17 ""0x04=directory"" was wrong.",Yes,both,E2+RD,forefst.py reads key type at kd[0:2] and filename at kd[4:]. No code path writes key_flags=0x04; RefsAddFileNameIndexEntry ORs dir bit 0x10000000 into the attribute word.,"key_flags distribution {0x01:409483, 0x02:115682, 0x04:0} across 111 images. Directories: kf=0x02 + attrs bit 0x10000000 at value+0x40 (e.g. $RECYCLE.BIN kf=0x02 attrs=0x10000006)."
FN_DTBL_006,File Name,Directory Entries,Directory key has no Reserved(4) field at 0x04. Correct: Type(2)+key_flags(2)+Filename(var) starting at offset 0x04. Errata E16.,Yes,both,E2+RD,forefst.py kd[4:].decode(utf-16-le) produces correct filenames,Row size proof: coucou=6 chars -> key=4+12=16B; with Reserved(4) it would be 20B giving 108 not 104=0x68
FN_LINK_001,File Name,Hard Links,"Hard links abolished in ReFS 3.4 (Win10); fully supported in ReFS 3.14 (Win11 native, CHKP flag 0x080 required)",No,3.4,E2,"Win10: HardLinkCount=1 always, no RefsLinkFileToSelf. Win11: 40+ hardlink functions (RefsHardlinksSupported, RefsLinkFileToSelf, RefsOpenHardlinkDirectoryTarget, RefsConvertToStandardInfoLinkCount)","Win11 specials: 182 hardlink files, 33 shared-OID groups; the '110 true hard links' count was a PARSER ARTIFACT (RETRACTED #292/E33 — non-resident type-0x30 value+0x08 is the home-dir backref shared by siblings). Genuine hard links use the non-resident mechanism in FN_LINK_002/#340. Win10 specials: 0 hardlink files (CreateHardLink fails). Upgraded 3.4->3.14: no hard links (flag 0x080 absent) | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was ENRICHED): The specific 'CHKP flag 0x080 required' part is a checkpoint/driver gate (E2), not measured here - it is INFERRED at the disk layer. The supported-vs-abolished behavior is disk-consistent."
FN_MISC_001,File Name,Entry Blocks,v1.2: 64 KiB entry blocks; v3.2+: different sizes,No,1.2/3.2,N/A,,
FN_OPEN_SA_001,File Name,Object Table,RefsCommonCreate: core file/directory create and open logic (~18679/19580 bytes). Calls RefsEditFileBegin which assigns unique OID from Object Table during file creation.,No,both,E2,See RefsCommonCreate.md. PDB + decompilation confirm OID assignment via RefsEditFileBegin,
FN_PATH_001,File Name,Path Recovery,OID Table + Parent-Child + dir names for full path,No,3.4,E2,Full path reconstruction chain: CmsObjectTable → parent-child → directory rows → $DIR_LINK,refs_dirfiles.py implements full path reconstruction via OID+Parent-Child+dir names on all images
MD_ATTR_001,Metadata,Attributes,"$STANDARD_INFORMATION: present, role moved to fixed metadata",Yes,3.4,E2 (win10),"RefsMapStandardInfo validates size >= 0x74 (116 bytes Win10). Functions: RefsMapStandardInfo, RefsGetStandardInfo, RefsSetStandardInfo, RefsComputeStandardInformationFromFcb","Individual attribute extraction not yet implemented | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NOT_TESTED): Offset/presence disk-confirmed; the prose label is static-cited (E2 win10). No contradiction."
MD_ATTR_002,Metadata,Attributes,$FILENAME: present in driver,No,3.4,E1 (all),$FILE_NAME string literal in both versions; RefsMapFileName function,Filenames extracted from directory B+-trees by refs_dirfiles.py; UTF-16LE decoding confirmed
MD_ATTR_003,Metadata,Attributes,"$DIR_LINK: new in ReFS, stores dir name+parent ID+timestamps",No,3.4,E1 (all),$DIR_LINK string literal in both versions; Win11 adds RefsAttributeManager::CreateLinkAttribute (4030B) and DeleteLinkAttribute (2567B),Directory names extracted via B+-tree walking; parent-child relationships confirmed
MD_ATTR_004,Metadata,Attributes,$OBJECT_ID: present but possibly partial support,Yes,3.4,E1,$OBJECT_ID string literal in BOTH Win10 and Win11. RefsOpenFcbById handles object ID lookups. CONTRADICTS Microsoft docs claiming no Object ID support,
MD_ATTR_005,Metadata,Attributes,$DATA: core file content (always non-resident),No,3.4,E2,"Type code 0x80 confirmed in RefsCheckValidAttributeAccess. RefsResidentWrite and RefsNonCachedResidentRead functions exist — small files CAN be resident. Threshold: 2048 bytes (v3.11+), 128 KB (v3.4-v3.10). ADS always resident. Contradicts literature stating $DATA always non-resident. Merged from MD_RESD_SA_001",Win10: 100% resident for small test files. Win11: ~92% resident. Threshold confirmed empirically.
MD_ATTR_006,Metadata,Attributes,$INDEX_ROOT: present but appears unused,No,3.4,E1,$INDEX_ROOT string literal present; type code 0x90,Schema type 0x1b0 = Index Root present in Win11 schema table (absent in Win10)
MD_ATTR_007,Metadata,Attributes,"$NAMED_DATA: ADS, resident, limited size",No,3.4,E1 (all),$NAMED_DATA string literal in both versions,"DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was NOT_TESTED): ADS-as-0xB0 disk mechanism confirmed; the attribute-name string and size-limit are static (E1)."
MD_ATTR_008,Metadata,Attributes,"$REPARSE_POINT: reparse metadata for symlinks/junctions. Type code 0xC0 (NTFS-equivalent). Stored as separate attribute in per-file B+ tree, not inline in 0x30 directory entry. Schema 0x1c0 (v3.7+), schema 0x170 = Reparse Point tree type.",No,3.4,E1,"$REPARSE_POINT string literal + type code 0xC0. RefsGetReparsePointValue: LookupAttribute(0xc0). RefsCreateReparsePointInternal: CreateAttributeWithValue(0xc0). Reparse tag/flag in 0x30 entry, data in separate 0xC0 attribute",REPARSE_POINT flag (0x400) on symlink files. Schema 0x170 = Reparse Point. No 0xC0 entries visible in directory B+ trees (data in per-file attribute set)
MD_ATTR_009,Metadata,Attributes,$USN_INFO: Change Journal org metadata (unofficial name),Yes,3.4,N/A,Name is analyst-assigned; exact attribute name in binary not confirmed,"verify_usn_claims.py: OID 0x520 confirmed as journal metadata container (""FS Metadata"" directory). Type 0x10 descriptor = organizational metadata. ""$USN_INFO"" name is analyst-assigned, not found in binary or PDB symbols. Actual name in parent-child table: ""FS Metadata"". | DOWNGRADED to INFERRED 2026-06-18 (all-disk re-verify: offset/value RD-confirmed, semantic label not disk-checkable — was ENRICHED): Pure semantic-name claim (confidence Low, evidence N/A). The underlying 0xF0/OID-0x520 mechanism is disk-confirmed (see RA_016)."
MD_ATTR_010,Metadata,Attributes,"$EA_INFORMATION (0xD0) + $EA (0xE0): Extended Attributes. Two-phase lookup: 0xD0 header (sizes/counts), then 0xE0 data body. NTFS-equivalent type codes. Schema 0x1d0 (v3.7+), 0x1e0 (v3.14+). Schema 0x1a0 = EA tree type.",No,3.4,E2 (win11+),"RefsLookupEasOnFile (Ea.c): LookupAttribute(0xd0) for _EA_INFORMATION header, then LookupAttribute(0xe0) for EA data body. RefsCopyAllEas: LookupAttribute(0xe0). IRP_MJ_QUERY_EA/SET_EA handlers in Win11","Schema 0x1a0 = Extended Attributes in both versions. WSL $LX* EAs found inline in 0x30 value data on disk images. Separate 0xD0/0xE0 attribute entries in per-file attribute set, not visible in directory B+ tree"
MD_ATTR_RA_001,Metadata,File Attributes,"Complete attribute values catalog: 0x10 (dir), 0x16 (hidden+system+dir), 0x20 (archive), 0x220 (sparse+archive), 0x420 (reparse+archive), 0x4020 (encrypted+archive), 0x10000400 (dir+reparse ext).",No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 12.1 | RE-VERIFIED 2026-06-18 (all-disk): claimed catalog includes 0x10 (dir) and 0x16 (hidden+system+dir); disk shows 0 occurrences of either - directories carry 0x10000000 (the errata 'dir bit is 0x10000000 not 0x10' pitfall). The other 5 catalog values are present.
MD_ATTR_RA_002,Metadata,File Attributes,File attribute bit map with bit 10 (0x400 REPARSE_POINT) and bit 9 (0x200 SPARSE_FILE). Full bit decomposition from bit 0 (ReadOnly) through bit 28 (NO_SCRUB_DATA).,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,See ra_step4_18_deep_attribute_analysis_report.md Section 12.2
MD_ATTR_RA_003,Metadata,File Attributes,FileAttributes flag 0x40000 indicates Extended Attributes present — undocumented by Microsoft,No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,Discovered during refs_attributes.py development. WSL files with $LXMOD/$LXUID/$LXGID have this flag set
MD_ATTR_RA_004,Metadata,File Attributes,WSL FIFOs stored as REPARSE_POINT with $LXMOD upper bits encoding file type (FIFO = S_IFIFO 0o010000; observed $LXMOD 0o10644),No,3.14,N/A,On-disk layout observation; not directly verifiable from driver code,Confirmed on win11refs4gattributes.raw. FIFO type encoded in mode bits within $LXMOD EA value
MD_ATTR_RA_005,Metadata,B+-tree,"User OIDs (>=0x600) have exactly 4 B+-tree key types: 0x10 ($SI), 0x20 (reverse index), 0x30 (filenames), 0x40 (extents). Types 0x80-0x100 are NEVER top-level keys. Verified across 32721 user OIDs on 110 images.",Yes,both,E2+RD,"cmd_oid_detail walks all rows; le16(kd,0) only returns 0x10/0x20/0x30/0x40 for user OIDs","110 images / 32721 OIDs: 100% have only {0x10,0x20,0x30,0x40} at OID level. 0 exceptions."
MD_ATTR_RA_006,Metadata,B+-tree,Type 0x10 value contains embedded B+-tree with $OBJ_LINK (0x39/0x38) + $I30_INDEX (0x90) sub-records. 99.4% have exactly 2 rows. 0.3% have 3 (adds $REPARSE). <0.01% have 4 (adds $EA).,Yes,both,E2+RD,RefsInitializeWellKnownAttributeRowKeys (14030c92c): initializes types 0x80 and 0x39. parse_resident_btree_rows parses the embedded format.,"110 images / 32721 entries: 32510 have 2 rows (99.4%), 121 have 1 row, 86 have 3 rows, 4 have 4 rows."
MD_ATTR_RA_007,Metadata,B+-tree,"Embedded B+-tree key/value overlap: key[0:8] = le64(value_length), key[8:] = value[0:]. Row offset table at end of value: pairs of [le16 offset][0xFFFF]. Same format used in type 0x10 and resident type 0x30 values.",Yes,both,RD,,Cross-verified across 32721 type 0x10 entries: key[0:8] as le64 matches value length in 100% of parsed rows.
MD_ATTR_RA_008,Metadata,B+-tree,"Resident type 0x30 sub-record distribution (71162 entries across 110 images): MI_0x80=75303, SI_0x80=30360, SI_0xD0=3879, SI_0xE0=3854, SI_0xC0=2001, MI_0xB0=979, MI_0x100=7. Types 0x80 ($DATA), 0xB0 ($SNAPSHOT), 0xC0 ($REPARSE), 0xD0 ($EA_INFO), 0xE0 ($EA), 0x100 ($EFS) confirmed as embedded sub-records.",Yes,both,RD,,110 images scanned with parse_resident_btree_rows. Sub-record types match F.2 schema table attribute codes exactly.
MD_ATTR_RA_009,Metadata,Sub-records,"Common sub-record VALUE header: 12-byte prefix [4B padding=0][4B data_area_size][4B constant=0x0C]. Shared by all embedded attribute types (0x80 SI, 0xB0, 0xC0, 0xD0, 0xE0). Invariant across v3.4-Insider.",Yes,both,E2+RD,GetResidentStreamSummaryFromDisk / SetResidentStreamSummary decompilation,All sub-record values across 110 images share this prefix. 0 violations.
MD_ATTR_RA_010,Metadata,Sub-records,"$REPARSE_V2 (0xC0): REPARSE_DATA_BUFFER stored verbatim at val[0x0C]. Tag at val[0x0C], data_length at val[0x10]. CORRECTION: 0x8000001B = APPEXECLINK (app execution alias), the tag observed on winsider — NOT WCI/WOF. The prior _REPARSE_TAGS table was broadly mislabeled (off-by-one), now corrected to authoritative ntifs.h values: 0x80000024=LX_FIFO not AF_UNIX; AF_UNIX=0x80000023; WOF=0x80000017; WCI=0x80000018. WOF/WCI/DEDUP (0x80000013) NOT observed; AF_UNIX (0x80000023), LX_CHR (0x80000025), LX_BLK (0x80000026) NOW OBSERVED on win11refs2gtargeted (FS_REPS_RA_003/#341). Inventory (2084 instances / 47 images): SYMLINK 0xA000000C=2007, MOUNT_POINT 0xA0000003=47, APPEXECLINK 0x8000001B=28, LX_FIFO 0x80000024=2 (empty, the lxfifo file, mode S_IFIFO). refs.sys structurally recognizes only symlink/junction; all other tags stored verbatim.",Yes,both,E2+RD,RefsSetReparsePointInternal handles only 0xa000000c/0xa0000003; all other tags pass through. No driver hits for WOF/WCI/dedup constants (minifilter-handled).,"APPEXECLINK=0x8000001B (28 on winsider), not WCI/WOF. LX_FIFO=0x80000024 (the lxfifo file). WOF (0x80000017) + WCI (0x80000018) + DEDUP + LX_SYMLINK 0xA000001D NOT observed; AF_UNIX 0x80000023 + LX_CHR 0x80000025 + LX_BLK 0x80000026 NOW OBSERVED on win11refs2gtargeted (#341). refsanalysis _REPARSE_TAGS table rebuilt to authoritative values (maintainer flag)."
MD_ATTR_RA_011,Metadata,Sub-records,"$EA_INFO (0xD0): fixed 20B. CORRECTION: $SI+0x50 PackedEaSize (v3.10+) = val[0x0C] (= Σ(5+EaNameLength+EaValueLength), the NTFS-conventional PackedEaSize cached in FCB+0xA0), NOT val[0x10]. val[0x10] = Σ align4(8+nameLen+1+valLen) = serialized on-disk footprint. The two size fields were inverted in the prior claim. 3889 entries across 3 v3.14 images.",Yes,both,E2+RD,RefsComputeStandardInformationFromFcb L159549: $SI+0x50 = FCB+0xA0; RefsReplaceFileEas L399256 sets FCB+0xA0 from EA_LIST_HEADER[0] = val[0x0C].,"$SI+0x50 == val[0x0C] in 3852/3852, == val[0x10] in 0% (small image: $SI+0x50=45=val0x0C, val0x10=60). val[0x10] does NOT match."
MD_ATTR_RA_012,Metadata,Sub-records,"$EA (0xE0): FILE_FULL_EA_INFORMATION chain at val[0x0C]. Standard NT format. Common EAs: $KERNEL.PURGE.ESBCACHE (30B), $LXUID/$LXGID/$LXMOD (4B each), $LXDEV (8B = u32 major + u32 minor, #341). 3854 entries, 44-209B values.",Yes,both,E2+RD,RefsLookupEasOnFile / IRP_MJ_QUERY_EA handler decompilation,3854 entries decoded. EA chain parses correctly using standard NextEntryOffset traversal.
MD_ATTR_RA_013,Metadata,Sub-records,$EA_INFO/$EA co-occurrence: 3854 pairs always co-occur. 25 orphan $EA_INFO without $EA. 0 orphan $EA without $EA_INFO. Near-perfect co-occurrence invariant.,Yes,both,RD,,"3854 pairs, 25 orphans (EA_INFO only). 0 reverse orphans."
MD_ATTR_RA_014,Metadata,Sub-records,"Sub-record value format cross-version: ALL layouts identical across v3.4/v3.7/v3.9/v3.10/v3.14/Insider. Only KEY format differs (v3.4 no markers, v3.7+ markers at key[8:12]).",Yes,both,E2+RD,,Compared sub-record values across 6 version groups. 0 format deviations.
MD_ATTR_RA_015,Metadata,Sub-records,"$I30_INDEX (type 0x90): 140-byte value is 100% constant across all OIDs and all versions. Static B+-tree config template. Key contains '$I30' stream name (UTF-16LE). flags=0x00010240, entry_size=0x70. Verified on 418 OIDs across v3.4/v3.14/Insider.",Yes,both,E1+RD,RefsCheckValidAttributeAccess confirms type 0x90 as INDEX_ROOT (E1),418 OIDs across 4 images: 100% identical value. 0 variations.
MD_ATTR_RA_016,Metadata,Sub-records,"Types 0x50/0x60/0x70: ZERO sub-records in user objects across 111 images. 0x50 in OID 0x500 (key 0x520, 448B). 0x60 in OID 0x540 (key 0x01). 0x70 not observed. CORRECTION: type 0xF0 IS observed — exactly 1 per image (9 images where USN journal active), the USN $Max attribute (marker 0x80000001, 44B) on the Change Journal file under OID 0x520. NOT a zero/never-observed type.",Yes,both,RD,,"Full re-scan of 111 images: 0xF0 found on 9 images (1:1 with USN-journal presence), always OID 0x520 Change Journal. 0x50/0x60/0x70 confirmed zero in user objects."
MD_ATTR_RA_017,Metadata,Sub-records,"Insider sub-record census: 123367 total across 26668 OIDs. 0x39=26560, 0x90=26668, SI_0x80=33560, MI_0x80=28739, 0xD0=3877, 0xE0=3852, 0xC0=109, 0xB0=2. Complete type distribution.",Yes,insider,RD,,Full walk of Insider image winsider.raw. All sub-records classified.
